Horse,PC1
Journalism,6.79126937140566
Citizen Bull,3.167423531759076
Luxor Cafe,2.8809879488655237
Grande,2.827399792437761
Rodriguez,2.6035168973330696
Sandman,0.6603261483434889
Burnham Square,0.637116571565943
Baeza,0.619093237897697
Final Gambit,0.5293442278472028
Sovereignty,-0.33420478262986864
Owen Almighty,-0.5228417324628911
American Promise,-0.5933813685129159
Coal Battle,-0.6035001804865041
Admire Daytona,-0.6511857252123004
Tiztastic,-1.5199960894371283
East Avenue,-2.033515901470709
Neoequos,-2.2774981650073447
Chunk of Gold,-2.6198526662828203
Flying Mohawk,-2.7420423199297144
Render Judgment,-3.309596309950208
Publisher,-3.5088624860730113
