Horse,RankComposite
American Promise,12.810344827586206
Journalism,12.810344827586206
Tiztastic,12.672413793103448
Citizen Bull,12.155172413793103
Luxor Cafe,12.120689655172415
Owen Almighty,11.741379310344827
Publisher,11.724137931034482
Rodriguez,11.46551724137931
Sandman,11.379310344827585
Coal Battle,11.379310344827585
Grande,11.068965517241379
Final Gambit,11.017241379310345
Neoequos,10.862068965517242
Baeza,10.775862068965518
Burnham Square,10.724137931034482
Sovereignty,10.362068965517242
Admire Daytona,9.706896551724139
Render Judgment,9.275862068965518
East Avenue,9.206896551724139
Chunk of Gold,8.96551724137931
Flying Mohawk,8.775862068965518
